Title,Perusahaan,Kategori,Lokasi,Skills
Account Executive,PT Indonesia Muda Kreasi (IM Road Runner),Layanan Pelanggan,KOTA TANGERANG SELATAN,"Coaching, office administration, Project Manager, autodesk revit, Debugging, F&B Operations"
DRIVER TRUCK,PT Tedmoninndo Pratamasemesta,Supir,KAB. BEKASI,drive
Sewing Operator Menjahit,PT. Liebra Permana Semarang,Manufaktur dan Produksi,KAB. SEMARANG,"sewing, Menjahit, jahit"
Supervisor Retail & Distribusi,PT Plexus Distribusi Modern,Penjualan dan Pemasaran,KOTA BALIKPAPAN,"Coaching, office administration, Project Manager, autodesk revit, Debugging, F&B Operations"
Technical Analyst,PT Star Plasindo Sejahtera,Quality Control (QC),KAB. CIREBON,"Risk Analysis, Quality Control"
QC Electroplating,PT Star Plasindo Sejahtera,Quality Control (QC),KAB. CIREBON,"Problem Solving, Quality Control"
Operator Produksi,PT Agric Amarga Jaya,Operator,KOTA SALATIGA,Operations
General Affair Assistant Manager,PT Lotte Chemical Indonesia Cilegon,Manufaktur dan Produksi,KOTA CILEGON,"Communication, Society Relations, CSR, Company Legal Document, Expatriate Affair, Government Communication, general affair, English Language, Permit and License"
Field Operator AWH (Automatic Warehouse),PT Lotte Chemical Indonesia Cilegon,Manufaktur dan Produksi,KOTA CILEGON,"wms, Microsoft Office, Analytics & Reporting, SAP"
Digital Transformation Staff,PT Lotte Chemical Indonesia Cilegon,Manufaktur dan Produksi,KOTA CILEGON,"Facility Portal System, AVEVA Software Solution, HR System Platforms, Microsoft Office, E-Procurement, SAP MM, 3D Modeling Software"
Process Control (Planning and Optimization) Engineer,PT Lotte Chemical Indonesia Cilegon,Manufaktur dan Produksi,KOTA CILEGON,"AVEVA Data Reconciliation, Microsoft Office, SAP PP Module, english, Manufacturing Execution System"
Process Control (Planning and Optimization) Jr. Engineer,PT Lotte Chemical Indonesia Cilegon,Manufaktur dan Produksi,KOTA CILEGON,"AVEVA Data Reconciliation, Process Production, Microsoft Office, SAP PP Module, Manufacturing Execution System, Chemical Process Understandiang"
Technical Engineer (Mechanic & Piping),PT Lotte Chemical Indonesia Cilegon,Manufaktur dan Produksi,KOTA CILEGON,"API, COMPRESS / PV Elite, ANSI, ASME, CAESAR II, Pipeflow, ASTM Standard"
Jr. Technical Engineer (Instrument) - Fresh Graduate,PT Lotte Chemical Indonesia Cilegon,Manufaktur dan Produksi,KOTA CILEGON,"DCS/PLC Logic Modification, Microsoft Office, english, AVEVA Instrumentation, InstruCalc"
PURCHASING STAFF,PT Sat Nusapersada Tbk,Manufaktur dan Produksi,KOTA BATAM,"Microsoft Excel, Microsoft Office, English Language, Microsoft Word"
QC STAFF,PT Sat Nusapersada Tbk,Manufaktur dan Produksi,KOTA BATAM,"Microsoft Office, English Language, Analytical Skills, Quality Control"
ENGINEER,PT Sat Nusapersada Tbk,Manufaktur dan Produksi,KOTA BATAM,"Microsoft Office, English Language"
PLANNER,PT Sat Nusapersada Tbk,Manufaktur dan Produksi,KOTA BATAM,"Microsoft Office, English Language"
Technical Engineering (2D 3D) Sr. Operator,PT Lotte Chemical Indonesia Cilegon,Manufaktur dan Produksi,KOTA CILEGON,"AVEVA E3D, Solid, Autocad, Engineering Drawing"
Marketing Monomer Staff (Fresh Graduate),PT Lotte Chemical Indonesia,Manufaktur dan Produksi,Jakarta,"Microsoft Office, Analytics & Reporting, SAP, export-import, detail oriented"
Internal Control Staff,PT Lotte Chemical Indonesia,Manufaktur dan Produksi,Jakarta,"Accounting, Budgeting, Microsoft Office, psak, english, cost control"
Cook,Simplefi Teknologi Indonesia,Juru Masak,KOTA MEDAN,Microsoft Office
Jr. Engineer NC COLD (Fresh Graduate),PT Lotte Chemical Indonesia Cilegon,Manufaktur dan Produksi,KOTA CILEGON,"Job Safety Analysis, Process Safety Management (PSM), HAZOP"
Sr. Instrumentation Control Technician,PT Lotte Chemical Indonesia Cilegon,Manufaktur dan Produksi,KOTA CILEGON,"PLC, Instrument Control, HMI and ISIS, SCADA, Distributed Control System, Automation Platform, Safety Quality Standards (ISO, OSHA)"
NC COLD Shift Supervisor,PT Lotte Chemical Indonesia Cilegon,Manufaktur dan Produksi,KOTA CILEGON,"Chemical Process, LOTO, Working Permit, Process Modelling, Naphtha Cracker, Microsoft Office"
Penerjemah Mandarin,Tsingcheng Technology Indonesia,Administrasi & Customer Relationship,KAB. MOROWALI,"Technical Writing, Microsoft Office, Public Speaking"
PURCHASING,PT.batavia Cyclindo Industri,Pembelian / Purchasing,KAB. TANGERANG,"Microsoft Office, Data Management"
Sales Executive Penempatan Kota Solok,Tjahaja Baru Abadi,Penjualan dan Pemasaran,KOTA PADANG,"Negotiation, Microsoft Excel, Microsoft Office, Sales & Marketing, Marketing Communications"
Sales Executive Penempatan Padang,Tjahaja Baru Abadi,Penjualan dan Pemasaran,KOTA PADANG,"Negotiation, Microsoft Excel, Microsoft Office, Marketing Strategy, Sales & Marketing, Marketing Communications"
Sales Executive Penempatan Kota Payakumbuh,Tjahaja Baru Abadi,Penjualan dan Pemasaran,KOTA PADANG,"Negotiation, Microsoft Excel, Microsoft Office, Sales & Marketing"
Technician Electrical,PT. Ekamas Fortuna,Operator,KAB. MALANG,"Operating Systems, Machine Learning"
SALES EXECUTIVE - Freelance,Mbakboss Garage Indo Kurnia Persada,Penjualan dan Pemasaran,KAB. DEMAK,"Product Marketing, Microsoft Excel, Content Marketing, Microsoft Office, Marketing Strategy, Marketing Management, Sales & Marketing, Marketing Communications, Digital Marketing"
SALES EXECUTIVE PT.MBGI KURNIA PERSADA,Mbakboss Garage Indo Kurnia Persada,Penjualan dan Pemasaran,KAB. DEMAK,"Manufacturing, Sales & Marketing, Sales"
Digital Marketing - (Yogyakarta),Himeya Agency,Pemasaran Internet,KAB. BANTUL,"Creative Writing, Google Analytics, Content Marketing, Digital Marketing"
Digital Marketing - (Riau),Himeya Agency,Pemasaran Internet,KAB. BENGKALIS,"Creative Writing, Google Analytics, Content Marketing, Digital Marketing"
Digital Marketing - (Aceh),Himeya Agency,Pemasaran Internet,KAB. ACEH BARAT,"Creative Writing, Google Analytics, Content Marketing, Digital Marketing"
Digital Marketing - (Kalimantan Tengah),Himeya Agency,Pemasaran Internet,KAB. BARITO SELATAN,"Creative Writing, Google Analytics, Content Marketing, Digital Marketing"
Digital Marketing - (Jakarta),Himeya Agency,Pemasaran Internet,Jakarta,"Creative Writing, Google Analytics, Content Marketing, Digital Marketing"
Digital Marketing - (Ancol Mekar - Bandung),Himeya Agency,Pemasaran Internet,Bandung,"Creative Writing, Google Analytics, Content Marketing, Digital Marketing"
Digital Marketing - (Campaka - Bandung),Himeya Agency,Pemasaran Internet,Bandung,"Creative Writing, Google Analytics, Content Marketing, Digital Marketing"
Account Executive (Sales Lapangan),PT Eka Mas Republik,Penjualan dan Pemasaran,KOTA PADANG,"Marketing, Social Media Marketing, Sales & Marketing, Digital Marketing"
OPERATOR BATCHING PLANT,Farrasindo Perkasa,Quality Control (QC),Jakarta,"Microsoft Excel, Microsoft Office"
COMMUNITY OFFICER - KALIMANTAN SELATAN,"PT Bank Btpn Syariah, Tbk Kc Padang",Operasi Perbankan,KOTA BANJARMASIN,"Microsoft Excel, Microsoft Office, Sales & Marketing"
COMMUNITY OFFICER - BANGKA BELITUNG,"PT Bank Btpn Syariah, Tbk Kc Padang",Operasi Perbankan,KAB. BELITUNG,Microsoft Office
Resort Acquisition Specialist,Karma Group,Layanan Pelanggan,KOTA DENPASAR,"Acquisition, Relation Development, Business Development"
Marketing Inside (Head Office and Surcip Branch),Precision Tools Service Indonesia,Penjualan (Non-Teknis),KAB. KARAWANG,"Microsoft Excel, Sales & Marketing"
Salesman (Sei Sungai Bakau Kecil - KalBar),PT Plexus Distribusi Modern,Penjualan dan Pemasaran,KOTA PONTIANAK,Business Analysis
Salesman (Kota Baru - KalBar),PT Plexus Distribusi Modern,Penjualan dan Pemasaran,KOTA PONTIANAK,Business Analysis
English Teacher,Yayasan Ashabul Fitrah Indonesia,Guru / Tutor,KAB. BOGOR,"Artificial Intelligence (AI), English Language, Google Apps"
Regional Sales Head - Bancassurance,Fwd Insurance Indonesia,Penanggung (asuransi),Jakarta,"Microsoft Excel, Microsoft Office, Communications, Sales & Marketing"
Legal & Corporate Secretary Manager,Fwd Insurance Indonesia,Penanggung (asuransi),Jakarta,"Microsoft Excel, Microsoft Office, Risk Analysis"
Brand Digital Marketing Manager,Fwd Insurance Indonesia,Penjualan dan Pemasaran,Jakarta,"Microsoft Excel, Interface Design, Microsoft Office"
Agency MIS Lead,Fwd Insurance Indonesia,Penjualan dan Pemasaran,Jakarta,"Microsoft Excel, Microsoft Office"
Agency Funding & Reporting,Fwd Insurance Indonesia,Bagian Umum,Jakarta,"Microsoft Excel, Microsoft Office"
Agency Communication & Event Supervisor,Fwd Insurance Indonesia,Penjualan dan Pemasaran,Jakarta,"Microsoft Excel, Microsoft Office, English Language"
Actuarial Pricing Senior Manager,Fwd Insurance Indonesia,Operasional,Jakarta,"Microsoft Office, English Language, aktuari"
Community Officer - Kalimantan Barat,"PT Bank Btpn Syariah, Tbk Kc Padang",Operasi Perbankan,KOTA PONTIANAK,"Risk Analysis, Sales & Marketing, Community Management"
Creative Marketing,Simplefi Teknologi Indonesia,Operasi Restoran,KOTA MEDAN,Microsoft Office
Waiter,Simplefi Teknologi Indonesia,Resepsionis,KOTA MEDAN,Microsoft Office
Relx Promotion Girl,Tumbuh Akselera Indonesia,Penjualan dan Pemasaran,KAB. KAMPAR,"Sales & Marketing, Sales, Customer Service"
Sociology Teacher,Yayasan Ashabul Fitrah Indonesia,Guru / Tutor,KAB. BOGOR,"Artificial Intelligence (AI), English Language, Google Apps"
Robotics Teacher,Yayasan Ashabul Fitrah Indonesia,"Pelatih, Pendidik",KAB. BOGOR,"Python, Arduino, ESP"
Chemistry Teacher,Yayasan Ashabul Fitrah Indonesia,Guru / Tutor,KAB. BOGOR,"Artificial Intelligence (AI), English Language, Google Apps"
Physics Teacher,Yayasan Ashabul Fitrah Indonesia,"Pelatih, Pendidik",KAB. BOGOR,"Artificial Intelligence (AI), English Language, Google Apps"
SUPERVISOR PRODUKSI,PT. Cipta Khatulistiwa Mandiri,Manufaktur dan Produksi,KAB. MEMPAWAH,"Microsoft Office, Data Management"
SUPIR DUMPTRUCK,Kostec Prima Baja,Supir,KOTA CILEGON,Operations
SUPERVISOR PRODUKSI PEMELIHARAAN AYAM RAS PEDAGING,PT. Charoen Pokphand Jaya Farm,Peternakan,KAB. LANDAK,Microsoft Office
Strategy Management Office,PT. Liebra Permana Semarang,Manufaktur dan Produksi,KAB. SEMARANG,"Manufacturing, Microsoft Excel, Data Analysis, Business Analysis, SAP"
TRAINING COORDINATOR,Sang Jaya Indo,Penjualan dan Pemasaran,Jakarta,"Public Relations, Microsoft Excel, Microsoft Office, Public Speaking & Presentations, Public Speaking"
ACCOUNTING (Mandarin),Sang Jaya Indo,Penjualan dan Pemasaran,Jakarta,"Akuntansi, Microsoft Excel, Microsoft Office, Compensation & Benefits, Risk Analysis"
HUMAN RESOURCE (MANDARIN),Sang Jaya Indo,Management Trainee,Jakarta,"Microsoft Windows, Data Management, Compensation & Benefits, Risk Analysis, Community Management"
HR Officer,PT Saranagriya Lestari Keramik (Milan Ceramics Tile),Penggajian dan Fasilitas,KOTA BEKASI,"Payroll, Data Entry, Accounting, Microsoft Excel, Microsoft Office, Databases, Analysing Big Data"
Digital Designer - Laboratorium Departement,PT Saranagriya Lestari Keramik (Milan Ceramics Tile),Desainer Grafis Komputer,KOTA BEKASI,"Digital Drawing and Sketching, Product Design, Editing"
Sales,Tumbuh Akselera Indonesia,Penjualan dan Pemasaran,Jakarta,"Sales & Marketing, Sales"
HRGA Manager,PT Pan Brothers Tbk,Management Trainee,KOTA TANGERANG SELATAN,Human Resources
Mitra Kurir Motor - Kota Semarang,PT. Tri Adi Bersama,Logistik,KOTA SEMARANG,Microsoft Office
Accounting,Simplefi Teknologi Indonesia,Operasi Restoran,KOTA MEDAN,Microsoft Office
Kepala Sekolah,Simplefi Teknologi Indonesia,Guru / Tutor,KOTA MEDAN,Microsoft Office
Kasir,Simplefi Teknologi Indonesia,Operasi Restoran,KOTA MEDAN,Microsoft Office
Outlet Manager,Simplefi Teknologi Indonesia,Operasi Restoran,KOTA MEDAN,Microsoft Office
Crew Playground,Simplefi Teknologi Indonesia,Operasi Ritel,KOTA MEDAN,Microsoft Office
Steward,Simplefi Teknologi Indonesia,Juru Masak,KOTA MEDAN,Microsoft Office
Cook Helper,Simplefi Teknologi Indonesia,Juru Masak,KOTA MEDAN,Microsoft Office
Barista,Simplefi Teknologi Indonesia,Operasi Restoran,KOTA MEDAN,Microsoft Office
Staf Engineering (Teknis & Administratif Proyek),Karunia Adi Sentosa,"Teknik, Lainnya",Jakarta,"iOS Design, Risk Analysis, Creative Problem Solving"
SALES PRODUK BAHAN BANGUNAN,Artistika Inkernas,Penjualan dan Pemasaran,Jakarta,"Microsoft Office, Compensation & Benefits, Sales & Marketing"
"Administrasi - Malaka, Lombok Utara",Finfleet Teknologi Indonesia,Sekretaris,KAB. LOMBOK UTARA,"Accounting, Office Admin, Analysing Big Data"
"Administrasi - Belo, Bima",Finfleet Teknologi Indonesia,Sekretaris,KOTA BIMA,"Accounting, Office Admin, Analysing Big Data"
Pramuniaga Gadai,Solusi Gadai Pintar,Penjualan dan Pemasaran,Jakarta,"Sales & Marketing, gadai, Sales"
Ahli K3 Kimia,Borneo Alumindo Prima,"Teknik, Lainnya",KAB. KETAPANG,"hse, K3 Kimia, Risk Analysis, ahli kimia"
Collection Coordinator,PT Finansia Multi Finance (Kredit Plus),Kolektor,KAB. GARUT,"Microsoft Office, Databases, Risk Analysis"
Event Planner,PT Indonesia Muda Kreasi (IM Road Runner),Layanan Pelanggan,KOTA TANGERANG SELATAN,"Coaching, office administration, Project Manager, autodesk revit, Debugging, F&B Operations"
Videografer,CV Mencloth,Desainer Grafis Komputer,KAB. SUKOHARJO,healthcare
Sales Area,Tumbuh Akselera Indonesia,Penjualan dan Pemasaran,Jakarta,"Sales & Marketing, Team Leadership"
Relationship Manager,PT. Allvamed Nuvacon Adigana,Hubungan Masyarakat,Jakarta,"Marketing, Sales"
E-commerce Specialist,Joglo Ria Batik,Penjualan dan Pemasaran,KOTA SURAKARTA,"Content Marketing, Data Analysis, Online Marketing, Digital Marketing"
ASSISTANT HAIR STYLIST SALON BINTANG 4,Sang Jaya Indo,Layanan Pelanggan,KAB. TANGERANG,"Sales Support, Customer Experience, kecantikan, Customer Service, penata"
E-commerce Specialist,Joglo Ria Batik,Penjualan dan Pemasaran,KAB. SUKOHARJO,"Content Marketing, Data Analysis, Online Marketing, Digital Marketing"
E-commerce Specialist,Joglo Ria Batik,Penjualan dan Pemasaran,KAB. WONOGIRI,"Content Marketing, Data Analysis, Online Marketing, Digital Marketing"
STAF PENAGIHAN LAPANGAN - AREA SULAWESI,PT Swakarya Insan Mandi,Penjualan dan Pemasaran,KOTA MANADO,"Negotiation, komunikasi"
Associate Director | Equities Sales Trading (12-month contract),Macquarie Sekuritas Indonesia,Broker Saham,Jakarta,"Microsoft Excel, Microsoft Windows, Microsoft Office, Risk Analysis"
Packer,PT. Java Plastic Manufacturing,Manufaktur dan Produksi,KAB. BOYOLALI,Microsoft Office
Supervisor Accounting II,PT Kimia Farma Apotek,Akuntan Perpajakan,Jakarta,"Coaching, office administration, Project Manager, autodesk revit, Debugging, F&B Operations"
Content Creator,PT Infomedia Solusi Humanika Pontianak,Juru Gambar,Jakarta,Video Editing
Marketing Insight,PT KZmall Auto Parts,Penjualan dan Pemasaran,KOTA TANGERANG SELATAN,"Coaching, office administration, Project Manager, autodesk revit, Debugging, F&B Operations"
Mandarin Translator,PT KZmall Auto Parts,Penerjemah,KOTA TANGERANG SELATAN,"Coaching, office administration, Project Manager, autodesk revit, Debugging, F&B Operations"
Account Officer Mikro,PT. Permodalan Nasional Madani Cabang Tegal,Investasi dan Keuangan,KAB. BREBES,"Marketing, Negotiation, Microsoft Office, Communication Skills, Sales & Marketing"
"Staf Cleaning Service - Banguntapan, Bantul",FLIP Education,Pekerjaan Umum,KAB. BANTUL,Python
"Staf Cleaning Service - Imogiri, Bantul",FLIP Education,Pekerjaan Umum,KAB. BANTUL,Python
"Staf Cleaning Service - Jambidan, Bantul",FLIP Education,Pekerjaan Umum,KAB. BANTUL,Python
"Staf Cleaning Service - Bangunjiwo, Bantul",FLIP Education,Pekerjaan Umum,KAB. BANTUL,Python
"Staf Cleaning Service - Caturharjo, Bantul",FLIP Education,Pekerjaan Umum,KAB. BANTUL,Python
"Staf Cleaning Service - Sumber Agung, Bantul",FLIP Education,Pekerjaan Umum,KAB. BANTUL,Python
"Staf Cleaning Service - Ngestiharjo, Bantul",FLIP Education,Pekerjaan Umum,KAB. BANTUL,Python
"Staf Cleaning Service - Tamantirto, Bantul",FLIP Education,Pekerjaan Umum,KAB. BANTUL,Python
Sales Canvas Banjarmasin,PT. Sumber Nelayan Indonesia,Penjualan dan Pemasaran,KOTA BANJARMASIN,"Coaching, office administration, Project Manager, autodesk revit, Debugging, F&B Operations"
"Verifikator Cabang Pangkalan Balai - Suka Bangun, Palembang",BFI Finance Sumbagsel,Layanan Pelanggan,KOTA PALEMBANG,Risk Analysis
"Verifikator Cabang Pangkalan Balai - Sukajaya, Palembang",BFI Finance Sumbagsel,Layanan Pelanggan,KOTA PALEMBANG,Risk Analysis
"Verifikator Cabang Pangkalan Balai - Jambe, Palembang",BFI Finance Sumbagsel,Layanan Pelanggan,KOTA PALEMBANG,Risk Analysis
"Verifikator Cabang Pangkalan Balai - Kebun Bunga, Palembang",BFI Finance Sumbagsel,Layanan Pelanggan,KOTA PALEMBANG,Risk Analysis
"Verifikator Cabang Pangkalan Balai - Pangkalan Balai, Banyu Asin",BFI Finance Sumbagsel,Layanan Pelanggan,KAB. BANYUASIN,Risk Analysis
"Verifikator Cabang Pangkalan Balai - Suka Mulya, Palembang",BFI Finance Sumbagsel,Layanan Pelanggan,KOTA PALEMBANG,Risk Analysis
"Verifikator Cabang Pangkalan Balai - Talang Betutu, Palembang",BFI Finance Sumbagsel,Layanan Pelanggan,KOTA PALEMBANG,Risk Analysis
"Verifikator Cabang Pangkalan Balai - Sukarami, Palembang",BFI Finance Sumbagsel,Layanan Pelanggan,KOTA PALEMBANG,Risk Analysis
"Verifikator Cabang Pangkalan Balai - Lebong/lebung Gajah, Palembang",BFI Finance Sumbagsel,Layanan Pelanggan,KOTA PALEMBANG,Risk Analysis
Marketing Sales Aki/Baterai Mobil,PT KZmall Auto Parts,Penjualan dan Pemasaran,KOTA TANGERANG SELATAN,"Coaching, office administration, Project Manager, autodesk revit, Debugging, F&B Operations"
Teknisi Tower BTS,PT Infomedia Solusi Humanika Pontianak,"Teknik, Mesin",Jakarta,Risk Analysis
Admin Umum,PT Pradnya Bhakti Indonesia,Bagian Umum,KAB. GIANYAR,"Microsoft Office, ADMINISTRASI"
General Affair,PT Pradnya Bhakti Indonesia,Bagian Umum,KAB. GIANYAR,"operasional, ADMINISTRASI, Koordinasi"
Mitra Kurir Motor - Kab Gresik,PT. Tri Adi Bersama,Logistik,KAB. GRESIK,Microsoft Office
Staf Cleaning Service,FLIP Education,Pekerjaan Umum,KAB. BANTUL,Python
Sales Merchandiser Solo,PT. Sumber Nelayan Indonesia,Penjualan dan Pemasaran,KAB. SUKOHARJO,"Coaching, office administration, Project Manager, autodesk revit, Debugging, F&B Operations"
Penguji Berkualifikasi Pesawat Sinar-X Gigi,PT. Andini Sarana,Kesehatan dan Medis,Jakarta,Microsoft Office
Satpam Pabrik Kelapa Sawit,PT. Karunia Adi Sentosa (Kendari),Layanan Pelanggan,KAB. BOMBANA,Operations
Sales  promotor,Karunia Adi Sentosa,Bagian Umum,Jakarta,"Microsoft Excel, komunikasi, Microsoft Office, Databases"
Produksi Color Matching,PT. Hi-Tech Ink Indonesia,Manufaktur dan Produksi,KAB. KENDAL,Color Matching
Crew Dcrepes Cikarang - Karawang,PT. Jaddi Globalindo,Operasional,KAB. KARAWANG,"cook, Communication Skills, Customer Service"
Staff Processing,Cbr Elektronik Batam,Manufaktur dan Produksi,KOTA BATAM,"Teamwork, Electronics, Quality Control"
